#time	id	x[m]	y[m]	speed[m/s]	heading	acc[m/s^2]
51.00	18335	673.21	2.00	12.07		0.00	-0.32
51.00	18342	663.74	0.00	15.20		0.00	0.04
51.00	18338	649.06	2.00	12.76		0.00	-0.23
51.00	18343	648.91	1.00	15.15		0.00	-0.07
51.00	18345	634.89	0.00	15.17		0.00	-0.05
51.00	18341	622.49	2.00	13.43		0.00	-0.13
51.00	18346	619.53	1.00	15.16		0.00	0.13
51.00	18348	605.10	0.00	15.26		0.00	-0.09
51.00	18344	592.02	2.00	13.98		0.00	0.04
51.00	18349	589.84	1.00	15.19		0.00	-0.00
51.00	18351	574.95	0.00	15.29		0.00	0.23
51.00	18352	560.66	1.00	15.02		0.00	-0.24
51.00	18347	555.39	2.00	13.96		0.00	-0.14
51.00	18354	545.13	0.00	15.26		0.00	-0.25
51.00	18355	531.11	1.00	15.16		0.00	0.13
51.00	18350	525.95	2.00	13.77		0.00	-0.11
51.00	18357	514.89	0.00	15.47		0.00	-0.14
51.00	18358	500.20	1.00	15.48		0.00	0.00
51.00	18353	497.90	2.00	13.60		0.00	0.22
51.00	18360	485.46	0.00	15.45		0.00	-0.07
51.00	18356	469.92	2.00	13.24		0.00	0.00
51.00	18363	468.92	1.00	15.55		0.00	-0.19
51.00	18364	450.45	0.00	16.29		0.00	-0.33
51.00	18359	443.40	2.00	12.96		0.00	0.04
51.00	18365	413.85	1.00	18.01		0.00	-0.05
51.00	18362	408.51	2.00	13.01		0.00	0.01
51.00	18368	371.19	1.00	17.41		0.00	0.41
51.00	18373	329.61	2.00	16.06		0.00	-0.07
51.00	18371	265.24	2.00	14.52		0.00	0.47
51.00	18	235.50	1.00	9.35		0.00	0.01
51.00	18369	219.17	0.00	10.24		0.00	0.25
51.00	18374	212.39	2.00	12.57		0.00	0.42
51.00	18370	192.16	1.00	8.62		0.00	0.24
51.00	21	177.30	0.00	7.31		0.00	0.10
51.00	18379	163.78	2.00	9.32		0.00	-0.02
51.00	24	149.49	1.00	6.77		0.00	0.33
51.00	18377	138.93	2.00	8.25		0.00	0.24
51.00	18381	129.83	1.00	5.40		0.00	0.36
51.00	18380	117.05	2.00	7.04		0.00	0.14
